"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"",,"","","60020","is_a:","","","term-term","term-term","2.0","Antimicrobial peptides (term-term-ontology) Metal sequestration by antimicrobial proteins","","POSITIVELY_REGULATES","false","term-term","Antimicrobial peptides (term-term-ontology) Metal sequestration by antimicrobial proteins","+","","","","","R-HSA:6803157 (term-term-ontology) R-HSA:6799990"
"",,"","","60015","is_a:","","","term-term","term-term","2.0","Antimicrobial peptides (term-term-ontology) Innate Immune System","POSITIVELY_REGULATES","","false","term-term","Antimicrobial peptides (term-term-ontology) Innate Immune System","+","","","","","R-HSA:6803157 (term-term-ontology) R-HSA:168249"
"",,"","","59915","is_a:","","","term-term","term-term","2.0","Interleukin-2 family signaling (term-term-ontology) Interleukin-2 signaling","","POSITIVELY_REGULATES","false","term-term","Interleukin-2 family signaling (term-term-ontology) Interleukin-2 signaling","+","","","","","R-HSA:451927 (term-term-ontology) R-HSA:9020558"
"",,"","","59910","is_a:","","","term-term","term-term","2.0","Interleukin-2 family signaling (term-term-ontology) Signaling by Interleukins","POSITIVELY_REGULATES","","false","term-term","Interleukin-2 family signaling (term-term-ontology) Signaling by Interleukins","+","","","","","R-HSA:451927 (term-term-ontology) R-HSA:449147"
"",,"","","35806","kappa:0.66","","","term-term","term-term","0.6553545080375863","Signaling by the B Cell Receptor (BCR) (term-term) C-type lectin receptors (CLRs)","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) C-type lectin receptors (CLRs)","+","","","","","R-HSA:983705 (term-term) R-HSA:5621481"
"",,"","","35794","kappa:0.77","","","term-term","term-term","0.7713048967445216","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:5607764"
"",,"","","35791","kappa:0.41","","","term-term","term-term","0.40929056302409006","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) induces NFAT activation","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) CLEC7A (Dectin-1) induces NFAT activation","+","","","","","R-HSA:983705 (term-term) R-HSA:5607763"
"",,"","","35779","kappa:0.51","","","term-term","term-term","0.5098132508623768","Signaling by the B Cell Receptor (BCR) (term-term) FCERI mediated Ca+2 mobilization","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) FCERI mediated Ca+2 mobilization","+","","","","","R-HSA:983705 (term-term) R-HSA:2871809"
"",,"","","35776","kappa:0.72","","","term-term","term-term","0.7176575372968155","Signaling by the B Cell Receptor (BCR) (term-term) Fc epsilon receptor (FCERI) signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Fc epsilon receptor (FCERI) signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:2454202"
"",,"","","35773","kappa:0.41","","","term-term","term-term","0.40929056302409006","Signaling by the B Cell Receptor (BCR) (term-term) Calcineurin activates NFAT","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Calcineurin activates NFAT","+","","","","","R-HSA:983705 (term-term) R-HSA:2025928"
"",,"","","35770","kappa:0.52","","","term-term","term-term","0.5166301343752984","Signaling by the B Cell Receptor (BCR) (term-term) Downstream TCR signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Downstream TCR signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:202424"
"",,"","","35767","kappa:0.46","","","term-term","term-term","0.4574240479246903","Signaling by the B Cell Receptor (BCR) (term-term) TCR signaling","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) TCR signaling","+","","","","","R-HSA:983705 (term-term) R-HSA:202403"
"",,"","","35755","is_a:","","","term-term","term-term","2.0","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Adaptive Immune System","POSITIVELY_REGULATES","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Adaptive Immune System","+","","","","","R-HSA:983705 (term-term-ontology) R-HSA:1280218"
"",,"","","35752","kappa:0.68","","","term-term","term-term","0.6831056314561804","Signaling by the B Cell Receptor (BCR) (term-term) Activation of NF-kappaB in B cells","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Activation of NF-kappaB in B cells","+","","","","","R-HSA:983705 (term-term) R-HSA:1169091"
"",,"","","35749","is_a:","","","term-term","term-term","2.0","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Downstream signaling events of B Cell Receptor (BCR)","","POSITIVELY_REGULATES","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term-ontology) Downstream signaling events of B Cell Receptor (BCR)","+","","","","","R-HSA:983705 (term-term-ontology) R-HSA:1168372"
"",,"","","35746","kappa:0.88","","","term-term","term-term","0.8791575335938235","Signaling by the B Cell Receptor (BCR) (term-term) Downstream signaling events of B Cell Receptor (BCR)","","","false","term-term","Signaling by the B Cell Receptor (BCR) (term-term) Downstream signaling events of B Cell Receptor (BCR)","+","","","","","R-HSA:983705 (term-term) R-HSA:1168372"
